2025-06-10 13:39:22,359 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,397 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,400 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,417 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,452 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,455 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,471 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,502 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,503 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:22,519 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,546 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:22,547 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:22,560 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:23,632 | WARNING | geocode | ❌ Geocode MISS 'Beat #2, Sunflower, Mississippi, USA': Geocoder returned None
2025-06-10 13:39:23,641 | WARNING | geocode | ❌ Final Geocode MISS 'Beat #2, Sunflower, Mississippi, USA'
2025-06-10 13:39:25,080 | WARNING | geocode | ❌ Geocode MISS 'beat_2_sunflower_mississippi_usa': Geocoder returned None
2025-06-10 13:39:25,087 | WARNING | geocode | ❌ Final Geocode MISS 'beat_2_sunflower_mississippi_usa'
2025-06-10 13:39:25,096 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:25,097 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:25,120 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:25,121 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:25,710 | WARNING | geocode | ❌ Geocode MISS 'Rural, Sunflower, Mississippi': Geocoder returned None
2025-06-10 13:39:25,717 | WARNING | geocode | ❌ Final Geocode MISS 'Rural, Sunflower, Mississippi'
2025-06-10 13:39:26,873 | WARNING | geocode | ❌ Geocode MISS 'rural_sunflower_mississippi': Geocoder returned None
2025-06-10 13:39:26,903 | WARNING | geocode | ❌ Final Geocode MISS 'rural_sunflower_mississippi'
2025-06-10 13:39:26,912 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:26,913 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:26,936 | INFO | geocode | 🟦 Cache hit (nominatim)
2025-06-10 13:39:26,937 | INFO | geocode | 🟦 Cache hit (cache-legacy)
2025-06-10 13:39:26,957 | INFO | geocode | 🟦 Cache hit (geocoder)
2025-06-10 13:39:26,958 | INFO | geocode | 🟦 Cache hit (geocoder)
